District,year,area,avg_rainfall,max_temperature,min_temperature,humidity,storm,urea,tsp,mp,DAP,soil moisture
dhaka,2008,654,2385,34.2,12.5,71,yes,25967,8262,4808,1573,124237
gazipur,2008,1182,2197,30.2,19.5,71,yes,29264,9225,9057,5721,154669
narsingdi,2008,138,2197,34.2,12.5,71,no,30273,5068,5113,3031,94963
narayangonj,2008,153,2197,34.2,12.2,71,yes,16992,7954,7026,443,59782
tangail,2008,1211,1856,34.1,10.2,78,yes,91562,19022,20143,8809,306539
mymenshing,2008,23288,2239,29.6,21.6,79,no,120279,34007,47121,28723,390549
kishoregonj,2008,23840,2235,34.12,10.8,79,yes,48522,13993,9646,6030,225103
dhaka,2009,692,1930,35.6,14.8,66,yes,29300,8041,5396,1578,124180
gazipur,2009,1672,1912,31,11.43,66,yes,29059,9658,9007,5604,154625
narsingdi,2009,299,1912,35.6,14.8,66,no,30266,5122,5277,3114,94787
narayangonj,2009,21,1912,35.6,14.8,66,yes,16920,7834,6936,532,59631
tangail,2009,965,1391,35.4,12.5,79,yes,88769,17126,18791,9171,306452
mymenshing,2009,26570,1662,30.48,21.2,80,no,120936,42363,42428,30791,390873
kishoregonj,2009,19154,1653,33,13.2,80,yes,55839,10939,10321,3647,225451
dhaka,2010,655,1523,35.5,12.8,55.3,yes,27967,8675,4822,1688,124271
gazipur,2010,1229,1181,29.7,11,55.3,yes,29295,9435,9140,5967,154839
narsingdi,2010,282,1181,35,12.8,55.3,no,30464,5044,5147,2864,94811
narayangonj,2010,131,1181,35,12.8,55.3,no,17014,8075,7209,628,60041
tangail,2010,1085,1750,35,10.4,64,no,91923,18601,20775,9526,306425
mymenshing,2010,20948,2095,30.7,21.3,66.3,no,119974,32347,49366,29182,391055
kishoregonj,2010,21395,1811,32.4,11.71,66.3,yes,69834,14890,18374,5455,224915
dhaka,2011,502,1776,23.4,12.2,68.2,yes,36991,9386,5553,1628,124170
gazipur,2011,2128,1777,31,12.7,68.2,yes,29457,9866,9041,5831,154779
narsingdi,2011,262,1777,23.4,12.2,68.2,no,30205,5129,5488,3244,94711
narayangonj,2011,178,1777,23.4,12.2,68.2,no,17384,8313,7374,602,59621
tangail,2011,509,1839,22.5,10.1,77.7,yes,93730,19362,17605,9765,307064
mymenshing,2011,39131,2147,29.6,20.8,79.3,yes,120944,41236,44949,30009,390676
kishoregonj,2011,18667,2153,22.2,10.8,79.3,yes,65338,14518,11410,6349,225465
dhaka,2012,477,1329,30.8,12.2,58,yes,32966,8166,5498,1925,124357
gazipur,2012,2430,2122,30,13,58,yes,29105,9857,9177,5927,154740
narsingdi,2012,269,2195,27,14.5,66,yes,30724,5200,5840,3804,94917
narayangonj,2012,150,2122,28.7,13.3,66,no,17149,8408,7510,732,60076
tangail,2012,1176,1469,26.7,10.7,76,no,91285,18985,19294,9068,307048
mymenshing,2012,30579,1479,29.6,20,78,yes,118950,47006,52921,31153,390788
kishoregonj,2012,19611,1930,29.4,11.8,79,yes,66013,20332,16690,6860,225878
dhaka,2013,502,1590,30.9,12.1,63,yes,30332,9188,5490,1941,124206
gazipur,2013,2128,2170,31.7,10.22,63,yes,29301,9704,9270,5990,154900
narsingdi,2013,262,2256,31.25,10.43,66,no,30294,5094,5155,3426,94790
narayangonj,2013,178,2063,30.6,11.2,65.3,no,17610,8707,7653,598,60007
tangail,2013,509,1182,27,11.6,78,no,89379,20598,18579,8782,306426
mymenshing,2013,39131,1739,30,20.8,79.2,yes,123953,45664,43889,30172,390844
kishoregonj,2013,18667,1859,31.3,13.2,78,yes,68183,13092,14431,7698,226087
dhaka,2014,477,1399,31.1,14.2,64.7,yes,35321,9233,5369,1926,124158
gazipur,2014,2430,1991,30.4,11.5,64.7,yes,29564,9578,9139,5970,154602
narsingdi,2014,269,2384,29.44,11.9,71,no,30914,5398,5552,3582,94770
narayangonj,2014,150,1540,32.2,15.9,68.2,no,17220,8897,8058,657,59715
tangail,2014,1176,1641,27.5,12.9,76,no,91374,19201,20293,9153,306725
mymenshing,2014,30579,1934,30.3,20.9,72,no,111792,45750,40792,31212,390448
kishoregonj,2014,19611,1660,33.5,12.5,78,yes,53602,11112,14965,6596,225052
dhaka,2015,692,2166,34.2,12.7,60.2,yes,30750,9544,5684,1586,124203
gazipur,2015,1672,1927,29,12,60.2,yes,29543,9626,9453,5865,154879
narsingdi,2015,299,2176,28,12,73,no,30530,5391,5314,3939,94750
narayangonj,2015,21,1633,28.3,15.2,62,yes,17964,9125,7798,711,60077
tangail,2015,965,1871,34.3,13.2,69,yes,88951,20126,19254,9795,306989
mymenshing,2015,26570,2084,30.5,20.9,68,yes,116294,48421,51950,30842,390970
kishoregonj,2015,19154,1686,30.3,11.3,80,yes,64666,13232,16554,6746,225589
dhaka,2016,654,1562,27,13.6,65,yes,36712,9094,5705,1987,124269
gazipur,2016,1182,1950,31.2,10.7,65,yes,29159,9416,9491,5837,154602
narsingdi,2016,138,1841,30.3,10.3,55,no,31056,5227,5836,3450,95097
narayangonj,2016,153,1594,30.1,14.7,57.5,no,18221,8356,7730,566,59606
tangail,2016,1211,1749,30.1,12.3,79,yes,93695,20181,18682,10088,306918
mymenshing,2016,23288,1632,30.7,21,69.5,yes,124574,48162,45582,31785,390670
kishoregonj,2016,23840,1630,30.7,11.2,78,yes,70372,19507,17138,8170,225257
dhaka,2017,655,1640,31,12.7,69,yes,37382,8782,5410,1903,124287
gazipur,2017,1229,2185,31.5,13,69,yes,29558,9880,9170,5849,154641
narsingdi,2017,282,2016,27.7,14.5,62,no,30691,5378,5062,3299,94978
narayangonj,2017,131,1793,28.7,12.2,67,no,17835,8771,8100,564,59631
tangail,2017,1085,1632,32,12.8,78,no,93368,20321,18243,9511,306660
mymenshing,2017,20948,1949,31,21.2,79.3,yes,130393,49248,53832,30994,390529
kishoregonj,2017,21395,2230,32,12.3,79,yes,61581,14561,21016,6921,225747
